AnalysisLevel,DistrictName,ACTDistrictCode,HighSchoolName,ACTHSCode,GradYear,NumberStudents,AvgEnglish,AvgMath,AvgReading,AvgScience,AvgOverall
School,OSSEO AREA SCHOOLS DISTRICT 279,247298,279 ONLINE,240031,2019,0,,,,,
School,OSSEO AREA SCHOOLS DISTRICT 279,247298,279 ONLINE,240031,2020,0,,,,,
School,OSSEO AREA SCHOOLS DISTRICT 279,247298,279 ONLINE,240031,2021,0,,,,,
School,OSSEO AREA SCHOOLS DISTRICT 279,247298,279 ONLINE,240031,2022,2,,,,,
School,OSSEO AREA SCHOOLS DISTRICT 279,247298,279 ONLINE,240031,2023,39,16.2,16.2,16.2,16.2,16.2
School,AFFILIATION NOT REPORTED,N/A,916 MAHTOMEDI ACADEMY,975452,2019,10,12.4,12.4,12.4,12.4,12.4
School,AFFILIATION NOT REPORTED,N/A,916 MAHTOMEDI ACADEMY,975452,2020,0,,,,,
School,AFFILIATION NOT REPORTED,N/A,916 MAHTOMEDI ACADEMY,975452,2021,0,,,,,
School,AFFILIATION NOT REPORTED,N/A,916 MAHTOMEDI ACADEMY,975452,2022,0,,,,,
School,AFFILIATION NOT REPORTED,N/A,916 MAHTOMEDI ACADEMY,975452,2023,1,,,,,
School,AFFILIATION NOT REPORTED,N/A,ACADEMIC ARTS HIGH SCHOOL,242331,2019,22,13.6,13.6,13.6,13.6,13.6
School,AFFILIATION NOT REPORTED,N/A,ACADEMIC ARTS HIGH SCHOOL,242331,2020,10,16.3,16.3,16.3,16.3,16.3
School,AFFILIATION NOT REPORTED,N/A,ACADEMIC ARTS HIGH SCHOOL,242331,2021,0,,,,,
School,AFFILIATION NOT REPORTED,N/A,ACADEMIC ARTS HIGH SCHOOL,242331,2022,19,15,15,15,15,15
School,AFFILIATION NOT REPORTED,N/A,ACADEMIC ARTS HIGH SCHOOL,242331,2023,13,12.6,12.6,12.6,12.6,12.6
School,AFFILIATION NOT REPORTED,N/A,ACADEMY FOR SCIENCES AND AGRICULTURE HIGH SCHOOL,241393,2019,28,19.4,19.4,19.4,19.4,19.4
School,AFFILIATION NOT REPORTED,N/A,ACADEMY FOR SCIENCES AND AGRICULTURE HIGH SCHOOL,241393,2020,41,22,22,22,22,22
School,AFFILIATION NOT REPORTED,N/A,ACADEMY FOR SCIENCES AND AGRICULTURE HIGH SCHOOL,241393,2021,33,20.5,20.5,20.5,20.5,20.5
School,AFFILIATION NOT REPORTED,N/A,ACADEMY FOR SCIENCES AND AGRICULTURE HIGH SCHOOL,241393,2022,21,19.2,19.2,19.2,19.2,19.2
School,AFFILIATION NOT REPORTED,N/A,ACADEMY FOR SCIENCES AND AGRICULTURE HIGH SCHOOL,241393,2023,9,,,,,
School,ADA-BORUP-WEST SCHOOL DISTRICT,247550,ADA-BORUP-WEST HIGH SCHOOL,240000,2019,28,22.1,22.1,22.1,22.1,22.1
School,ADA-BORUP-WEST SCHOOL DISTRICT,247550,ADA-BORUP-WEST HIGH SCHOOL,240000,2020,48,20.3,20.3,20.3,20.3,20.3
School,ADA-BORUP-WEST SCHOOL DISTRICT,247550,ADA-BORUP-WEST HIGH SCHOOL,240000,2021,0,,,,,
School,ADA-BORUP-WEST SCHOOL DISTRICT,247550,ADA-BORUP-WEST HIGH SCHOOL,240000,2022,53,19.6,19.6,19.6,19.6,19.6
School,ADA-BORUP-WEST SCHOOL DISTRICT,247550,ADA-BORUP-WEST HIGH SCHOOL,240000,2023,27,18.3,18.3,18.3,18.3,18.3
School,ADRIAN INDEPENDENT SCHOOL DISTRICT 511,247544,ADRIAN HIGH SCHOOL,240010,2019,49,19.9,19.9,19.9,19.9,19.9
School,ADRIAN INDEPENDENT SCHOOL DISTRICT 511,247544,ADRIAN HIGH SCHOOL,240010,2020,47,20.8,20.8,20.8,20.8,20.8
School,ADRIAN INDEPENDENT SCHOOL DISTRICT 511,247544,ADRIAN HIGH SCHOOL,240010,2021,35,17.2,17.2,17.2,17.2,17.2
School,ADRIAN INDEPENDENT SCHOOL DISTRICT 511,247544,ADRIAN HIGH SCHOOL,240010,2022,34,17.8,17.8,17.8,17.8,17.8
School,ADRIAN INDEPENDENT SCHOOL DISTRICT 511,247544,ADRIAN HIGH SCHOOL,240010,2023,48,18.5,18.5,18.5,18.5,18.5
School,SAINT PAUL PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 625,247656,AGAPE HIGH SCHOOL,242220,2019,10,12.2,12.2,12.2,12.2,12.2
School,SAINT PAUL PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 625,247656,AGAPE HIGH SCHOOL,242220,2020,10,11.2,11.2,11.2,11.2,11.2
School,SAINT PAUL PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 625,247656,AGAPE HIGH SCHOOL,242220,2021,6,,,,,
School,SAINT PAUL PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 625,247656,AGAPE HIGH SCHOOL,242220,2022,4,,,,,
School,SAINT PAUL PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 625,247656,AGAPE HIGH SCHOOL,242220,2023,2,,,,,
School,AITKIN INDEPENDENT SCHOOL DISTRICT 1,247002,AITKIN HIGH SCHOOL,240020,2019,78,18.2,18.2,18.2,18.2,18.2
School,AITKIN INDEPENDENT SCHOOL DISTRICT 1,247002,AITKIN HIGH SCHOOL,240020,2020,63,19.2,19.2,19.2,19.2,19.2
School,AITKIN INDEPENDENT SCHOOL DISTRICT 1,247002,AITKIN HIGH SCHOOL,240020,2021,22,19.8,19.8,19.8,19.8,19.8
