DistrictNumber,DistrictType,SchoolNumber,MNSchoolID,SchoolName,Address,City,State,Zipcode,County,Grades,NCESID,StateOrganizationId,ACTID
1,1,0,0001-01,Aitkin Public School District,306 2nd St NW,Aitkin,MN,56431-1289,"Aitkin County, MN",,2702760,10001000000,247002
1,1,1,0001-01-001,Aitkin Secondary School,306 2nd St NW,Aitkin,MN,56431,"Aitkin County, MN", 7-12,270276000000,10001001000,240020
1,1,2,0001-01-002,Rippleside Elementary,225 2nd Ave SW,Aitkin,MN,56431,"Aitkin County, MN", EC-6,270276000000,10001002000,
1,1,6,0001-01-006,Aitkin Alternative Learning Program,12 7th St NW,Aitkin,MN,56431,"Aitkin County, MN", 7-12,270276000000,10001006000,
1,1,8,0001-01-008,Aitkin ESY,306 2nd St NW,Aitkin,MN,56431,"Aitkin County, MN", 1-12,2702760,10001008000,
1,1,8,0001-01-008,Aitkin ESY,306 2nd St NW,Aitkin,MN,56431,"Aitkin County, MN", 1-12,2702760,10001008000,
2,1,0,0002-01,Hill City Public School District,500 Ione Ave,Hill City,MN,55748-9628,"Aitkin County, MN",,2714010,10002000000,247004
2,1,1,0002-01-001,Hill City Elementary,500 Ione Ave,Hill City,MN,55748,"Aitkin County, MN", EC+KG-4,271401000000,10002001000,
2,1,2,0002-01-002,Hill City Middle School,500 Ione Ave,Hill City,MN,55748-9628,"Aitkin County, MN", 5-8,271401000000,10002002000,
2,1,3,0002-01-003,Hill City Senior High,500 Ione Ave,Hill City,MN,55748,"Aitkin County, MN", 9-12,271401000000,10002003000,241105
4,1,0,0004-01,McGregor Public School District,148 S 2nd St,McGregor,MN,55760-1429,"Aitkin County, MN",,2719170,10004000000,247006
4,1,10,0004-01-010,McGregor Elementary,148 S 2nd St,McGregor,MN,55760,"Aitkin County, MN", EC-6,271917000000,10004010000,
4,1,30,0004-01-030,McGregor Area Learning Program,91 S 2nd St,McGregor,MN,55760,"Aitkin County, MN", 8-12,271917000000,10004030000,
